fips,year,pincp
36041,2003,28103
36041,2004,29262
36041,2005,30806
36041,2006,32056
36041,2007,33921
36041,2008,37194
36041,2009,39012
36041,2010,39548
36041,2011,40597
36041,2012,41425
36041,2013,42119
36041,2014,46726
36041,2015,47082
36041,2016,49069
36041,2017,52259
36041,2018,53781
36041,2019,55578
36043,1969,3764
36043,1970,3951
36043,1971,4056
36043,1972,4215
36043,1973,4435
36043,1974,4793
36043,1975,5187
36043,1976,5579
36043,1977,5975
36043,1978,6477
36043,1979,7110
36043,1980,8013
36043,1981,8863
36043,1982,9570
36043,1983,10052
36043,1984,11142
36043,1985,11549
36043,1986,12069
36043,1987,12611
36043,1988,13581
36043,1989,14721
36043,1990,15272
36043,1991,15542
36043,1992,16542
36043,1993,17045
36043,1994,17832
36043,1995,18382
36043,1996,18685
36043,1997,19285
36043,1998,20463
36043,1999,21770
36043,2000,22654
36043,2001,23309
36043,2002,23569
36043,2003,24258
36043,2004,25610
36043,2005,26178
36043,2006,27123
36043,2007,28375
36043,2008,30385
36043,2009,31627
36043,2010,32785
36043,2011,34184
36043,2012,35268
36043,2013,36054
36043,2014,36374
36043,2015,37616
36043,2016,38116
36043,2017,40536
36043,2018,41353
36043,2019,43479
36045,1969,3295
36045,1970,3535
36045,1971,3758
36045,1972,3902
36045,1973,4215
36045,1974,4606
36045,1975,4998
36045,1976,5309
36045,1977,5635
36045,1978,6255
36045,1979,6929
36045,1980,7797
36045,1981,8557
36045,1982,9442
36045,1983,10062
36045,1984,11080
36045,1985,11894
36045,1986,12836
36045,1987,14268
36045,1988,15237
36045,1989,16323
36045,1990,16606
36045,1991,17238
36045,1992,17962
36045,1993,17930
36045,1994,18124
36045,1995,19087
36045,1996,19738
36045,1997,20509
36045,1998,21652
36045,1999,22725
36045,2000,24082
36045,2001,24363
36045,2002,25591
36045,2003,27387
36045,2004,29221
36045,2005,30910
36045,2006,33527
36045,2007,35256
36045,2008,37755
36045,2009,39367
36045,2010,41382
36045,2011,42826
36045,2012,42310
36045,2013,42259
36045,2014,42846
36045,2015,43414
36045,2016,43882
36045,2017,45611
36045,2018,46800
36045,2019,49365
36047,1969,3850
36047,1970,4129
36047,1971,4336
36047,1972,4674
36047,1973,5000
36047,1974,5392
36047,1975,5865
36047,1976,6169
36047,1977,6646
36047,1978,7231
36047,1979,7799
36047,1980,8622
36047,1981,9649
36047,1982,10465
36047,1983,11221
36047,1984,12298
36047,1985,12965
36047,1986,13753
36047,1987,14459
36047,1988,15569
36047,1989,16853
36047,1990,18339
36047,1991,18326
36047,1992,18867
36047,1993,19195
36047,1994,19593
36047,1995,20500
36047,1996,21315
36047,1997,21815
36047,1998,22626
36047,1999,23885
36047,2000,25235
36047,2001,26091
36047,2002,26190
36047,2003,26647
36047,2004,28473
36047,2005,29057
36047,2006,30989
36047,2007,33183
36047,2008,34363
36047,2009,34323
36047,2010,35758
36047,2011,37598
36047,2012,38697
36047,2013,39690
36047,2014,41637
36047,2015,44338
36047,2016,46272
36047,2017,50268
36047,2018,53346
36047,2019,56080
36049,1969,2849
36049,1970,3065
36049,1971,3276
36049,1972,3490
36049,1973,3750
36049,1974,4018
36049,1975,4192
36049,1976,4587
36049,1977,4783
36049,1978,5389
36049,1979,5885
36049,1980,7031
36049,1981,7692
36049,1982,8284
36049,1983,8922
36049,1984,9892
36049,1985,10694
36049,1986,11369
36049,1987,11837
36049,1988,12451
36049,1989,13501
36049,1990,14042
36049,1991,14761
36049,1992,15345
36049,1993,15278
36049,1994,15848
36049,1995,16231
36049,1996,17282
36049,1997,17775
36049,1998,18872
36049,1999,19869
36049,2000,20647
36049,2001,21111
36049,2002,22240
36049,2003,23517
36049,2004,24651
36049,2005,26028
36049,2006,28997
36049,2007,30095
36049,2008,33206
36049,2009,34041
36049,2010,35918
36049,2011,39493
36049,2012,38808
36049,2013,40322
36049,2014,41389
36049,2015,41171
36049,2016,41184
36049,2017,43526
36049,2018,44681
36049,2019,47471
36051,1969,3644
36051,1970,3912
36051,1971,4209
36051,1972,4368
36051,1973,4776
36051,1974,5192
36051,1975,5487
36051,1976,5724
36051,1977,6157
36051,1978,6804
36051,1979,7519
36051,1980,8549
36051,1981,9578
36051,1982,10406
36051,1983,10800
36051,1984,11938
36051,1985,12931
36051,1986,13431
36051,1987,13968
36051,1988,15037
36051,1989,16249
36051,1990,17333
36051,1991,17819
36051,1992,18373
36051,1993,18946
36051,1994,19501
36051,1995,20000
36051,1996,20571
36051,1997,21178
36051,1998,22352
36051,1999,23221
36051,2000,23919
36051,2001,24039
36051,2002,24517
36051,2003,25554
36051,2004,26243
36051,2005,26830
36051,2006,27656
36051,2007,29299
36051,2008,31330
36051,2009,31554
36051,2010,33373
36051,2011,35303
36051,2012,35870
36051,2013,35753
36051,2014,36804
36051,2015,37979
36051,2016,39452
36051,2017,44310
36051,2018,45975
36051,2019,48268
36053,1969,3399
36053,1970,3560
36053,1971,3805
36053,1972,4033
36053,1973,4418
36053,1974,4782
36053,1975,5214
36053,1976,5430
36053,1977,5781
36053,1978,6385
36053,1979,7146
36053,1980,8087
36053,1981,8900
36053,1982,9657
36053,1983,10360
36053,1984,11523
36053,1985,12329
36053,1986,13078
36053,1987,13922
36053,1988,15034
36053,1989,16404
36053,1990,17202
36053,1991,17535
36053,1992,18334
36053,1993,19116
36053,1994,19756
36053,1995,20682
36053,1996,21252
36053,1997,22554
36053,1998,24007
36053,1999,25052
36053,2000,26256
36053,2001,26648
36053,2002,26819
36053,2003,27332
36053,2004,27994
36053,2005,28787
36053,2006,29671
36053,2007,30890
36053,2008,32213
36053,2009,32627
36053,2010,33599
36053,2011,35127
36053,2012,36403
36053,2013,36753
36053,2014,38197
36053,2015,39703
36053,2016,40702
36053,2017,43228
36053,2018,43779
36053,2019,45794
36055,1969,4716
36055,1970,4888
36055,1971,5219
36055,1972,5637
36055,1973,6165
36055,1974,6763
36055,1975,7262
36055,1976,7755
36055,1977,8395
36055,1978,9135
36055,1979,10166
36055,1980,11433
36055,1981,12798
36055,1982,13845
36055,1983,14440
36055,1984,15902
36055,1985,17082
36055,1986,17971
36055,1987,18587
36055,1988,20063
36055,1989,21813
36055,1990,22352
36055,1991,23055
36055,1992,23864
36055,1993,24280
36055,1994,24884
36055,1995,26086
36055,1996,27100
36055,1997,28173
36055,1998,29445
36055,1999,30458
36055,2000,31882
36055,2001,32601
36055,2002,32772
36055,2003,33064
36055,2004,34132
36055,2005,34863
36055,2006,36383
36055,2007,38187
36055,2008,40229
36055,2009,40154
36055,2010,41547
36055,2011,43444
36055,2012,45842
36055,2013,45068
36055,2014,45892
36055,2015,48262
36055,2016,49064
36055,2017,51419
36055,2018,52943
36055,2019,55034
36057,1969,3572
36057,1970,3852
36057,1971,4108
36057,1972,4348
36057,1973,4625
36057,1974,5017
36057,1975,5507
36057,1976,5869
36057,1977,6440
36057,1978,6923
36057,1979,7688
36057,1980,8579
36057,1981,9552
36057,1982,10212
36057,1983,11010
36057,1984,11826
36057,1985,12494
36057,1986,13317
36057,1987,14147
36057,1988,14763
36057,1989,15986
36057,1990,16850
36057,1991,17382
36057,1992,18327
36057,1993,18793
36057,1994,19435
36057,1995,20061
36057,1996,20341
36057,1997,21232
36057,1998,22483
36057,1999,23371
36057,2000,24866
36057,2001,26300
36057,2002,27421
36057,2003,28749
36057,2004,29149
36057,2005,29503
36057,2006,30655
36057,2007,32028
36057,2008,33194
36057,2009,33437
36057,2010,34614
36057,2011,35406
36057,2012,35703
36057,2013,36322
36057,2014,36676
36057,2015,38209
36057,2016,39223
36057,2017,41267
36057,2018,41391
36057,2019,43272
36059,1969,5762
36059,1970,6101
36059,1971,6550
36059,1972,7089
36059,1973,7663
36059,1974,8406
36059,1975,9062
36059,1976,9688
36059,1977,10634
36059,1978,11824
36059,1979,13179
36059,1980,14830
36059,1981,16655
36059,1982,18072
36059,1983,19290
36059,1984,21755
36059,1985,23138
36059,1986,24352
36059,1987,26151
36059,1988,28345
36059,1989,31041
36059,1990,32380
36059,1991,32256
36059,1992,33886
36059,1993,34807
36059,1994,35727
36059,1995,37382
36059,1996,39470
36059,1997,41863
36059,1998,44133
36059,1999,45638
36059,2000,48650
36059,2001,50602
36059,2002,50111
36059,2003,50638
36059,2004,52801
36059,2005,56061
36059,2006,59961
36059,2007,63915
36059,2008,65601
36059,2009,63096
36059,2010,65565
36059,2011,68494
36059,2012,73541
36059,2013,72420
36059,2014,75393
36059,2015,78696
36059,2016,80941
36059,2017,85663
36059,2018,89711
36059,2019,93241
36061,1969,7841
36061,1970,8509
36061,1971,9128
36061,1972,9770
36061,1973,10218
36061,1974,10969
36061,1975,11840
36061,1976,12591
36061,1977,13875
36061,1978,15467
36061,1979,16711
36061,1980,18174
36061,1981,20152
36061,1982,21747
36061,1983,23983
36061,1984,25687
36061,1985,28259
36061,1986,30685
36061,1987,34745
36061,1988,41126
36061,1989,44237
36061,1990,50091
36061,1991,46357
36061,1992,51236
36061,1993,53117
36061,1994,54535
36061,1995,59088
36061,1996,64417
36061,1997,69236
36061,1998,75304
36061,1999,81007
36061,2000,88609
36061,2001,93406
36061,2002,91072
36061,2003,88496
36061,2004,89573
36061,2005,96318
36061,2006,109741
36061,2007,123285
36061,2008,120389
36061,2009,114109
36061,2010,120442
36061,2011,131239
36061,2012,138876
36061,2013,142958
36061,2014,151154
36061,2015,154960
36061,2016,165782
36061,2017,183568
36061,2018,190997
36061,2019,197847
36063,1969,3842
36063,1970,4021
36063,1971,4408
36063,1972,4671
36063,1973,5087
36063,1974,5548
36063,1975,6040
36063,1976,6554
36063,1977,7295
36063,1978,7887
36063,1979,8838
36063,1980,9670
36063,1981,10521
36063,1982,11123
36063,1983,11883
36063,1984,13166
36063,1985,13914
36063,1986,14571
36063,1987,15080
36063,1988,16112
36063,1989,17146
36063,1990,17952
36063,1991,18442
36063,1992,19234
36063,1993,19603
36063,1994,20285
36063,1995,21076
36063,1996,21780
36063,1997,22614
36063,1998,23289
36063,1999,24170
36063,2000,25176
36063,2001,25756
36063,2002,26306
36063,2003,27257
36063,2004,28214
36063,2005,29141
36063,2006,30945
36063,2007,32390
36063,2008,33754
36063,2009,34052
36063,2010,34903
36063,2011,36573
36063,2012,37611
36063,2013,38043
36063,2014,39073
36063,2015,40846
36063,2016,41786
36063,2017,44192
36063,2018,45245
36063,2019,47207
36065,1969,3595
36065,1970,3863
36065,1971,4124
36065,1972,4372
36065,1973,4860
36065,1974,5285
36065,1975,5763
36065,1976,6159
36065,1977,6612
36065,1978,7224
36065,1979,7932
36065,1980,8941
36065,1981,9922
36065,1982,10820
36065,1983,11434
36065,1984,12563
36065,1985,13266
36065,1986,14039
36065,1987,14687
36065,1988,15611
36065,1989,16724
36065,1990,17641
36065,1991,17893
36065,1992,18858
36065,1993,19381
36065,1994,19852
36065,1995,20620
36065,1996,21278
36065,1997,22338
36065,1998,23372
36065,1999,24416
36065,2000,25615
36065,2001,25908
36065,2002,26040
36065,2003,26865
36065,2004,28172
36065,2005,29022
36065,2006,30671
36065,2007,32648
36065,2008,34180
36065,2009,34855
36065,2010,36112
36065,2011,37064
36065,2012,38007
36065,2013,38351
36065,2014,38783
36065,2015,40249
36065,2016,41168
36065,2017,43506
36065,2018,44692
36065,2019,46867
36067,1969,3977
36067,1970,4219
36067,1971,4558
36067,1972,4912
36067,1973,5322
36067,1974,5843
36067,1975,6243
36067,1976,6671
36067,1977,7315
36067,1978,8040
36067,1979,9008
36067,1980,10060
36067,1981,11051
36067,1982,11942
36067,1983,12851
36067,1984,14226
36067,1985,15079
36067,1986,16059
36067,1987,16671
36067,1988,17878
36067,1989,19556
36067,1990,20421
36067,1991,20712
36067,1992,21745
36067,1993,22126
36067,1994,22726
36067,1995,23565
36067,1996,24374
36067,1997,25355
36067,1998,26716
36067,1999,27945
36067,2000,29530
36067,2001,29697
36067,2002,30290
36067,2003,31441
36067,2004,32886
36067,2005,33936
36067,2006,35650
36067,2007,37864
36067,2008,39131
36067,2009,39442
36067,2010,40349
36067,2011,41983
36067,2012,43738
36067,2013,43896
36067,2014,45279
36067,2015,47600
36067,2016,48443
36067,2017,51167
36067,2018,53398
36067,2019,55564
36069,1969,3866
36069,1970,4129
36069,1971,4377
36069,1972,4685
36069,1973,5144
36069,1974,5621
36069,1975,6068
36069,1976,6462
36069,1977,7017
36069,1978,7447
36069,1979,8312
36069,1980,9401
36069,1981,10482
36069,1982,11374
36069,1983,11978
36069,1984,13147
36069,1985,13988
36069,1986,14895
36069,1987,15809
36069,1988,17177
36069,1989,18783
36069,1990,19875
36069,1991,20281
36069,1992,21277
36069,1993,21769
36069,1994,22426
36069,1995,23506
36069,1996,23822
36069,1997,24764
36069,1998,26529
36069,1999,28079
36069,2000,29236
36069,2001,29652
36069,2002,29389
36069,2003,30252
36069,2004,31889
36069,2005,32782
36069,2006,34305
36069,2007,36388
36069,2008,38017
36069,2009,38091
36069,2010,39360
36069,2011,41400
36069,2012,43091
36069,2013,43961
36069,2014,45818
36069,2015,49512
36069,2016,49584
36069,2017,52197
36069,2018,53303
36069,2019,55541
36071,1969,4025
36071,1970,4260
36071,1971,4703
36071,1972,5219
36071,1973,5631
36071,1974,6011
36071,1975,6466
36071,1976,6976
36071,1977,7472
36071,1978,8141
36071,1979,8980
36071,1980,10078
36071,1981,11313
36071,1982,12285
36071,1983,13112
36071,1984,14321
36071,1985,15241
36071,1986,16161
36071,1987,17062
36071,1988,18224
36071,1989,19540
36071,1990,20182
36071,1991,20700
36071,1992,21611
36071,1993,21836
36071,1994,22372
36071,1995,23077
36071,1996,23843
36071,1997,24588
36071,1998,26137
36071,1999,27513
36071,2000,28878
36071,2001,29663
36071,2002,30078
36071,2003,31352
36071,2004,32800
36071,2005,34266
36071,2006,36304
36071,2007,38460
36071,2008,40065
36071,2009,39383
36071,2010,39977
36071,2011,41688
36071,2012,43288
36071,2013,44098
36071,2014,45317
36071,2015,47145
36071,2016,47943
36071,2017,49964
36071,2018,51343
36071,2019,53656
36073,1969,3744
36073,1970,3889
36073,1971,4098
36073,1972,4312
36073,1973,4880
36073,1974,5349
36073,1975,5800
36073,1976,6030
36073,1977,6671
36073,1978,7198
36073,1979,7974
36073,1980,8886
36073,1981,9802
36073,1982,10471
36073,1983,10709
36073,1984,12004
36073,1985,12672
36073,1986,13309
36073,1987,13657
36073,1988,14473
36073,1989,15284
36073,1990,15912
36073,1991,16590
36073,1992,16623
36073,1993,17194
36073,1994,17942
36073,1995,18447
36073,1996,18684
36073,1997,19417
36073,1998,19876
36073,1999,20555
36073,2000,21875
36073,2001,22192
36073,2002,22407
36073,2003,23313
36073,2004,24345
36073,2005,25139
36073,2006,25882
36073,2007,27077
36073,2008,28345
36073,2009,28869
36073,2010,30403
36073,2011,31590
36073,2012,32457
36073,2013,33238
36073,2014,34101
36073,2015,35595
36073,2016,36171
36073,2017,38301
36073,2018,39087
36073,2019,41050
36075,1969,3141
36075,1970,3372
36075,1971,3682
36075,1972,3916
36075,1973,4295
36075,1974,4620
36075,1975,4846
36075,1976,5298
36075,1977,5987
36075,1978,6351
36075,1979,7102
36075,1980,7948
36075,1981,9048
36075,1982,10495
36075,1983,11502
36075,1984,12916
36075,1985,13576
36075,1986,13930
36075,1987,13894
36075,1988,14577
36075,1989,15606
36075,1990,16362
36075,1991,16608
36075,1992,17730
36075,1993,17795
36075,1994,18304
36075,1995,18803
36075,1996,18840
36075,1997,19585
36075,1998,20287
36075,1999,21183
36075,2000,22458
36075,2001,22887
36075,2002,23658
36075,2003,24271
36075,2004,25150
36075,2005,25877
36075,2006,27015
36075,2007,28459
36075,2008,29974
36075,2009,30522
36075,2010,31803
36075,2011,32494
36075,2012,33708
36075,2013,33831
36075,2014,34981
36075,2015,36249
36075,2016,36980
36075,2017,39326
36075,2018,40161
36075,2019,42025
36077,1969,3342
36077,1970,3547
36077,1971,3831
36077,1972,4107
36077,1973,4453
36077,1974,4808
36077,1975,5084
36077,1976,5387
36077,1977,5837
36077,1978,6324
36077,1979,6947
36077,1980,7802
36077,1981,8618
36077,1982,9419
36077,1983,9955
36077,1984,11060
36077,1985,11680
36077,1986,12376
36077,1987,13165
36077,1988,13812
36077,1989,15090
36077,1990,15779
36077,1991,16544
36077,1992,17424
36077,1993,17538
36077,1994,17903
36077,1995,18728
36077,1996,19562
36077,1997,20286
36077,1998,21039
36077,1999,22052
36077,2000,22564
36077,2001,23401
36077,2002,23603
36077,2003,24818
36077,2004,26229
36077,2005,26925
36077,2006,28258
36077,2007,28946
36077,2008,31423
36077,2009,31767
36077,2010,32972
36077,2011,34289
36077,2012,35756
36077,2013,36224
36077,2014,37651
36077,2015,39183
36077,2016,40239
36077,2017,42289
36077,2018,43759
36077,2019,45774
36079,1969,4597
36079,1970,4644
36079,1971,5061
36079,1972,5315
36079,1973,5646
36079,1974,6137
36079,1975,6714
36079,1976,7274
36079,1977,8009
36079,1978,9094
36079,1979,10158
36079,1980,11896
36079,1981,13326
36079,1982,14450
36079,1983,15367
36079,1984,17363
36079,1985,18931
36079,1986,20256
36079,1987,21421
36079,1988,23285
36079,1989,24473
36079,1990,25680
36079,1991,26080
36079,1992,27416
36079,1993,28385
36079,1994,28678
36079,1995,29982
36079,1996,31734
36079,1997,33648
36079,1998,35102
36079,1999,37268
36079,2000,39736
36079,2001,41595
36079,2002,41176
36079,2003,41991
36079,2004,43690
36079,2005,44966
36079,2006,47843
36079,2007,50636
36079,2008,51417
36079,2009,49625
36079,2010,50778
36079,2011,52999
36079,2012,61766
36079,2013,55082
36079,2014,57173
36079,2015,59365
36079,2016,60735
36079,2017,62987
36079,2018,66396
36079,2019,69365
36081,1969,5087
36081,1970,5492
36081,1971,5777
36081,1972,6176
36081,1973,6586
36081,1974,7048
36081,1975,7611
36081,1976,7954
36081,1977,8520
36081,1978,9130
36081,1979,9781
36081,1980,10750
36081,1981,12053
36081,1982,13150
36081,1983,14033
36081,1984,15415
36081,1985,16302
36081,1986,17296
36081,1987,18163
36081,1988,19515
36081,1989,21336
36081,1990,22371
36081,1991,22328
36081,1992,22620
36081,1993,22780
36081,1994,23000
36081,1995,23869
36081,1996,24399
36081,1997,25113
36081,1998,25772
36081,1999,26727
36081,2000,28599
36081,2001,29857
36081,2002,29761
36081,2003,30341
36081,2004,31796
36081,2005,32311
36081,2006,34100
36081,2007,36203
36081,2008,36411
36081,2009,36237
36081,2010,37203
36081,2011,38470
36081,2012,39478
36081,2013,39985
36081,2014,41377
36081,2015,43855
36081,2016,44902
36081,2017,47867
36081,2018,50279
36081,2019,53008
36083,1969,3642
36083,1970,3884
36083,1971,4167
36083,1972,4406
36083,1973,4746
36083,1974,5209
36083,1975,5640
36083,1976,6059
36083,1977,6512
36083,1978,7150
36083,1979,7945
36083,1980,8979
36083,1981,9864
36083,1982,10771
36083,1983,11623
36083,1984,12799
