state_code,state,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_growth_2009,gdp_growth_2010,gdp_growth_2011,gdp_growth_2012,region
AK,Alaska,44215,43472,44232,44732,7.7,-1.7,1.7,1.1,FW
AL,Alabama,149843,153839,155390,157272,-3.9,2.7,1,1.2,SE
AR,Arkansas,89776,92075,92684,93892,-2,2.6,0.7,1.3,SE
AZ,Arizona,221405,221016,224787,230641,-8.2,-0.2,1.7,2.6,SW
CA,California,1667152,1672473,1692301,1751002,-5.1,0.3,1.2,3.5,FW
CO,Colorado,225984,230976,234929,239884,-2.2,2.2,1.7,2.1,RM
CT,Connecticut,195237,197613,197452,197202,-3.6,1.2,-0.1,-0.1,NE
DC,District of Columbia,87172,89968,91442,92106,-0.7,3.2,1.6,0.7,MW
DE,Delaware,55352,55496,56004,56110,3.1,0.3,0.9,0.2,MW
FL,Florida,648642,650291,656346,672287,-5.9,0.3,0.9,2.4,SE
GA,Georgia,353817,358843,366342,374000,-5.4,1.4,2.1,2.1,SE
HI,Hawaii,57902,59673,60899,61877,-3.7,3.1,2.1,1.6,FW
IA,Iowa,121742,124011,126792,129799,-1.6,1.9,2.2,2.4,PL
ID,Idaho,49949,50734,50759,50976,-2.8,1.6,0,0.4,RM
IL,Illinois,561154,571228,583055,594201,-3.4,1.8,2.1,1.9,GL
IN,Indiana,227383,241927,247222,255380,-6,6.4,2.2,3.3,GL
KS,Kansas,110420,113324,116907,118523,-3.2,2.6,3.2,1.4,PL
KY,Kentucky,135180,141977,144779,146829,-3.9,5,2,1.4,SE
LA,Louisiana,189853,200944,195640,198548,3.2,5.8,-2.6,1.5,SE
MA,Massachusetts,327739,340159,345961,353717,-2.4,3.8,1.7,2.2,NE
MD,Maryland,255757,264321,268418,274930,-1.1,3.3,1.6,2.4,MW
ME,Maine,44770,45564,45763,45986,-1.8,1.8,0.4,0.5,NE
MI,Michigan,314260,329812,341194,348867,-9.1,4.9,3.5,2.2,GL
MN,Minnesota,233758,240418,244305,252971,-3.5,2.8,1.6,3.5,PL
MO,Missouri,212591,216681,217401,221702,-4.3,1.9,0.3,2,PL
MS,Mississippi,83702,85363,84402,86396,-3.9,2,-1.1,2.4,SE
MT,Montana,31271,31918,32683,33374,-2.1,2.1,2.4,2.1,RM
NC,North Carolina,372219,380693,382655,392905,-1.5,2.3,0.5,2.7,SE
ND,North Dakota,29497,31618,34092,38654,3,7.2,7.8,13.4,PL
NE,Nebraska,77625,80638,82172,83393,-0.1,3.9,1.9,1.5,PL
NH,New Hampshire,53475,55242,56443,56735,-1.8,3.3,2.2,0.5,NE
NJ,New Jersey,424871,431409,432415,438173,-4.3,1.5,0.2,1.3,MW
NM,New Mexico,70239,70785,70529,70699,1.7,0.8,-0.4,0.2,SW
NV,Nevada,110001,109610,111574,113197,-8.2,-0.4,1.8,1.5,FW
NY,New York,974078,1013251,1024985,1038541,-1.4,4,1.2,1.3,MW
OH,Ohio,405483,413991,425913,435104,-5.7,2.1,2.9,2.2,GL
OK,Oklahoma,132059,132917,135454,138296,-1.7,0.6,1.9,2.1,SW
OR,Oregon,164711,174165,180326,187440,-3.2,5.7,3.5,3.9,FW
PA,Pennsylvania,482665,493530,502769,511345,-3.1,2.3,1.9,1.7,MW
RI,Rhode Island,42741,43153,43168,43774,-1.6,1,0,1.4,NE
SC,South Carolina,139913,143407,146669,150596,-4.3,2.5,2.3,2.7,SE
SD,South Dakota,34354,34371,35898,35985,0.2,0,4.4,0.2,PL
TN,Tennessee,221902,227360,232891,240523,-3.9,2.5,2.4,3.3,SE
TX,Texas,1071959,1116268,1156013,1211692,-0.5,4.1,3.6,4.8,SW
UT,Utah,102863,105199,108106,111808,-1,2.3,2.8,3.4,RM
VA,Virginia,363730,377466,381493,385772,-0.7,3.8,1.1,1.1,SE
VT,Vermont,22108,23341,23639,23912,-2.9,5.6,1.3,1.2,NE
WA,Washington,300785,307685,313783,325165,-2.4,2.3,2,3.6,FW
WI,Wisconsin,212592,219080,221874,225094,-2.8,3.1,1.3,1.5,GL
WV,West Virginia,51881,53575,54597,56384,0.6,3.3,1.9,3.3,SE
WY,Wyoming,32439,32004,31231,31302,3.4,-1.3,-2.4,0.2,RM