sheet,time,time_n,state,empft,wage_st
1,Before,1,NJ,16,4.5
1,After,2,NJ,20,5.0500002
2,Before,1,NJ,10,4.75
2,After,2,NJ,7.5,5.25
3,Before,1,NJ,6,4.25
3,After,2,NJ,4,5.0500002
4,Before,1,NJ,10,4.75
4,After,2,NJ,5,5.0500002
5,Before,1,NJ,5,4.5
5,After,2,NJ,10,5.1500001
6,Before,1,NJ,2,5
6,After,2,NJ,5,5.0500002
8,Before,1,NJ,,4.8000002
8,After,2,NJ,15,5.0500002
9,Before,1,NJ,12,4.3699999
9,After,2,NJ,0,5.0500002
10,Before,1,NJ,15,4.25
10,After,2,NJ,15,5.0500002
11,Before,1,NJ,10,4.25
11,After,2,NJ,12,5.0500002
12,Before,1,NJ,6.5,4.3699999
12,After,2,NJ,15,5.0500002
13,Before,1,NJ,0,4.5
13,After,2,NJ,2,5
14,Before,1,NJ,10,5.1199999
14,After,2,NJ,4,5.0500002
15,Before,1,NJ,3,4.5999999
15,After,2,NJ,5,5.0500002
16,Before,1,NJ,6,4.5
16,After,2,NJ,7,5.0500002
17,Before,1,NJ,0,4.3699999
17,After,2,NJ,4,5.0500002
18,Before,1,NJ,15,4.25
18,After,2,NJ,8,5.0500002
19,Before,1,NJ,4,4.25
19,After,2,NJ,6,5.0500002
21,Before,1,NJ,5,4.4499998
21,After,2,NJ,0,5.0500002
22,Before,1,NJ,3,4.3499999
22,After,2,NJ,3,5.0500002
23,Before,1,NJ,0,4.5
23,After,2,NJ,14,5.0500002
24,Before,1,NJ,15,4.75
24,After,2,NJ,15,5.0500002
26,Before,1,NJ,30,5.5599999
26,After,2,NJ,10,5.0500002
27,Before,1,NJ,4,5
27,After,2,NJ,0,5.0500002
28,Before,1,NJ,0,4.5
28,After,2,NJ,6,
29,Before,1,NJ,0,4.5
29,After,2,NJ,0,5.0500002
30,Before,1,NJ,6,5
30,After,2,NJ,4,5.0500002
31,Before,1,NJ,4,5.25
31,After,2,NJ,6,5.0500002
32,Before,1,NJ,10,4.5
32,After,2,NJ,2,5.0500002
33,Before,1,NJ,12,5
33,After,2,NJ,6,5.0500002
34,Before,1,NJ,5,4.9499998
34,After,2,NJ,11,5.0500002
35,Before,1,NJ,25,4.5
35,After,2,NJ,13,5.0500002
36,Before,1,NJ,8,5.5
36,After,2,NJ,10,5.0500002
37,Before,1,PA,21,4.25
37,After,2,PA,6,4.25
38,Before,1,NJ,15,4.25
38,After,2,NJ,10,5.0500002
39,Before,1,PA,1,4.25
39,After,2,PA,5,
40,Before,1,PA,10,4.25
40,After,2,PA,7,4.25
41,Before,1,PA,0,4.25
41,After,2,PA,0,4.25
42,Before,1,PA,17,4.5
42,After,2,PA,0,4.25
45,Before,1,PA,0,4.25
45,After,2,PA,11,4.25
46,Before,1,PA,30,
46,After,2,PA,3.5,4.3000002
47,Before,1,PA,25,4.5
47,After,2,PA,0,4.25
48,Before,1,PA,6,4.25
48,After,2,PA,7.5,4.3800001
49,Before,1,PA,6.5,
49,After,2,PA,0,4.4499998
50,Before,1,PA,6,4.5
50,After,2,PA,4,4.75
51,Before,1,PA,0,4.25
51,After,2,PA,6,4.25
56,Before,1,PA,20,5
56,After,2,PA,0,5.25
57,Before,1,PA,30,4.6700001
57,After,2,PA,7,4.5
58,Before,1,PA,8,4.75
58,After,2,PA,0,4.5
59,Before,1,PA,0,4.25
59,After,2,PA,0,4.25
60,Before,1,PA,10,4.25
60,After,2,PA,10,4.25
61,Before,1,PA,6,5.5
61,After,2,PA,28,4.75
62,Before,1,PA,0,5
62,After,2,PA,,
63,Before,1,NJ,26,4.25
63,After,2,NJ,15,5.0500002
64,Before,1,NJ,20,4.5
64,After,2,NJ,13,5.0500002
65,Before,1,NJ,0,4.8000002
65,After,2,NJ,,5.0500002
66,Before,1,NJ,15,4.25
66,After,2,NJ,26,5.0500002
67,Before,1,NJ,5,4.5
67,After,2,NJ,4,5.0500002
68,Before,1,NJ,30,4.25
68,After,2,NJ,13,5.0500002
69,Before,1,NJ,0,4.25
69,After,2,NJ,0,5.0500002
70,Before,1,NJ,35,4.5
70,After,2,NJ,10,5.0500002
71,Before,1,NJ,0,4.75
71,After,2,NJ,29,5.0500002
73,Before,1,NJ,0,4.25
73,After,2,NJ,14,5.0500002
75,Before,1,NJ,3,4.25
75,After,2,NJ,4,5.0500002
76,Before,1,NJ,8,4.25
76,After,2,NJ,25,5.0500002
77,Before,1,NJ,6,5
77,After,2,NJ,4,5.0500002
78,Before,1,NJ,13,5
78,After,2,NJ,10,5.0500002
79,Before,1,NJ,6,4.5
79,After,2,NJ,8,5.0500002
80,Before,1,NJ,4.5,4.25
80,After,2,NJ,11,5.0500002
81,Before,1,NJ,25,5
81,After,2,NJ,0,5.0500002
82,Before,1,NJ,8,5
82,After,2,NJ,25,5.0500002
83,Before,1,NJ,12.5,5
83,After,2,NJ,,5.0500002
84,Before,1,NJ,4,4.5
84,After,2,NJ,12,5.0500002
85,Before,1,NJ,7,5.5
85,After,2,NJ,0,5.0500002
86,Before,1,NJ,11,4.25
86,After,2,NJ,9,5.0500002
87,Before,1,NJ,0,4.5
87,After,2,NJ,0,5.0500002
88,Before,1,NJ,3,4.25
88,After,2,NJ,4,5.0500002
89,Before,1,NJ,10,5
89,After,2,NJ,6,5.5
91,Before,1,NJ,8,4.25
91,After,2,NJ,0,5.0500002
92,Before,1,NJ,4,4.25
92,After,2,NJ,14,5.0500002
93,Before,1,NJ,2.5,4.25
93,After,2,NJ,5,5.0500002
94,Before,1,NJ,0,5
94,After,2,NJ,2,5.0500002
95,Before,1,NJ,18,4.25
95,After,2,NJ,0,5.0500002
96,Before,1,NJ,0,4.25
96,After,2,NJ,0,5.0500002
97,Before,1,NJ,0,4.25
97,After,2,NJ,2.5,5.0500002
98,Before,1,NJ,0,4.25
98,After,2,NJ,3,5.0500002
99,Before,1,NJ,60,4.75
99,After,2,NJ,30,5.0500002
101,Before,1,NJ,4.5,4.75
101,After,2,NJ,10,5.0500002
102,Before,1,NJ,12,4.4000001
102,After,2,NJ,0,5.0500002
103,Before,1,NJ,12.5,5
103,After,2,NJ,,5.0500002
104,Before,1,NJ,40,4.6199999
104,After,2,NJ,11,5.0500002
105,Before,1,NJ,0,4.25
105,After,2,NJ,0,5.0500002
106,Before,1,NJ,0,4.25
106,After,2,NJ,2,5.0500002
107,Before,1,NJ,6,4.25
107,After,2,NJ,13.5,5.0500002
108,Before,1,NJ,13.5,4.25
108,After,2,NJ,11,5.0500002
111,Before,1,NJ,17,4.25
111,After,2,NJ,20,5.0500002
112,Before,1,NJ,4,5
112,After,2,NJ,5,5.0500002
113,Before,1,NJ,0,
113,After,2,NJ,2,5.0500002
114,Before,1,NJ,0,4.75
114,After,2,NJ,20,5.25
115,Before,1,NJ,20,4.75
115,After,2,NJ,6,5.0500002
116,Before,1,NJ,4,4.25
116,After,2,NJ,22,5.0500002
118,Before,1,NJ,10,4.25
118,After,2,NJ,18,5.0500002
119,Before,1,NJ,12,4.75
119,After,2,NJ,18,5.0500002
120,Before,1,NJ,0,4.5
120,After,2,NJ,0,5.0500002
122,Before,1,NJ,1,4.25
122,After,2,NJ,10,5.0500002
123,Before,1,NJ,0,
123,After,2,NJ,5,5.0500002
124,Before,1,NJ,8,4.25
124,After,2,NJ,21,5.0500002
125,Before,1,NJ,15,4.5
125,After,2,NJ,0,5.0500002
128,Before,1,NJ,6.5,5
128,After,2,NJ,3,5.0500002
129,Before,1,NJ,20,5.25
129,After,2,NJ,7,5.0500002
130,Before,1,NJ,7,4.5
130,After,2,NJ,2,5.0500002
131,Before,1,NJ,15,5.5
131,After,2,NJ,8,5.0500002
132,Before,1,NJ,20,4.5
132,After,2,NJ,15,5.5
133,Before,1,NJ,6,4.75
133,After,2,NJ,3,5.0500002
134,Before,1,NJ,5.5,4.6199999
134,After,2,NJ,6,5.0500002
135,Before,1,NJ,10,
135,After,2,NJ,8,5.0500002
136,Before,1,NJ,14.5,4.25
136,After,2,NJ,,
137,Before,1,NJ,15,4.25
137,After,2,NJ,12,5.0500002
138,Before,1,NJ,4.5,
138,After,2,NJ,2,5.0500002
139,Before,1,NJ,,5.5
139,After,2,NJ,11,5.5
140,Before,1,NJ,0,4.5
140,After,2,NJ,5,5.6700001
141,Before,1,NJ,10,4.75
141,After,2,NJ,10,5.0500002
142,Before,1,NJ,15,4.25
142,After,2,NJ,40,5.0500002
143,Before,1,NJ,0,5.3699999
143,After,2,NJ,,
144,Before,1,NJ,10,5.0500002
144,After,2,NJ,4,5.0500002
145,Before,1,NJ,5,5
145,After,2,NJ,10,5.2800002
146,Before,1,NJ,8,4.8000002
146,After,2,NJ,0,5.0500002
147,Before,1,NJ,8.5,5.1199999
147,After,2,NJ,6,5.25
148,Before,1,NJ,4.5,5.25
148,After,2,NJ,7.5,5.0500002
149,Before,1,NJ,0,4.5
149,After,2,NJ,8,5.0500002
150,Before,1,NJ,0,4.6700001
150,After,2,NJ,12,5.75
151,Before,1,NJ,1,5
151,After,2,NJ,0,
152,Before,1,NJ,35,5.1199999
152,After,2,NJ,12,5.0500002
153,Before,1,NJ,0,
153,After,2,NJ,26.5,5.0500002
156,Before,1,NJ,8,4.8699999
156,After,2,NJ,2,5.0500002
157,Before,1,NJ,10,5
157,After,2,NJ,12,5.5
158,Before,1,NJ,2,4.5
158,After,2,NJ,3,5.0500002
159,Before,1,NJ,6,4.5
159,After,2,NJ,10,5.25
161,Before,1,NJ,8,5
161,After,2,NJ,26,5.0500002
162,Before,1,NJ,0,4.75
162,After,2,NJ,3,5.0500002
163,Before,1,NJ,12,5
163,After,2,NJ,1.5,5.0500002
164,Before,1,NJ,4,5
164,After,2,NJ,5,5.0500002
165,Before,1,NJ,20,5
165,After,2,NJ,10,5.0500002
166,Before,1,NJ,8,4.75
166,After,2,NJ,0,5.0500002
168,Before,1,NJ,5,4.25
168,After,2,NJ,0,5.25
169,Before,1,NJ,12,5
169,After,2,NJ,20,5.0500002
170,Before,1,NJ,10,5
170,After,2,NJ,20,5.0500002
171,Before,1,NJ,2,4.25
171,After,2,NJ,10,5.0500002
172,Before,1,NJ,0,4.75
172,After,2,NJ,7,5.0500002
173,Before,1,NJ,6,4.8499999
173,After,2,NJ,11,5.0500002
174,Before,1,NJ,11,4.75
174,After,2,NJ,20,5.0500002
176,Before,1,NJ,15,4.6199999
176,After,2,NJ,20,5.0500002
178,Before,1,NJ,13,4.25
178,After,2,NJ,1,5.0500002
179,Before,1,NJ,2,4.25
179,After,2,NJ,2,5.0500002
180,Before,1,NJ,8,4.5
180,After,2,NJ,0,5.0500002
181,Before,1,NJ,0,
181,After,2,NJ,1,5.0500002
182,Before,1,NJ,3,4.5
182,After,2,NJ,0,5.0500002
183,Before,1,NJ,12,4.6199999
183,After,2,NJ,15,5.0500002
185,Before,1,NJ,2,4.5
185,After,2,NJ,2,5.0500002
186,Before,1,NJ,10,4.75
186,After,2,NJ,12,5.0500002
187,Before,1,NJ,4,5.6199999
187,After,2,NJ,5,5.0500002
189,Before,1,NJ,4,4.75
189,After,2,NJ,0,5.0500002
190,Before,1,NJ,5,5
190,After,2,NJ,7,5.0500002
191,Before,1,NJ,30,
191,After,2,NJ,0,5.0500002
192,Before,1,NJ,20,4.8699999
192,After,2,NJ,4.5,5.25
193,Before,1,NJ,1,4.5
193,After,2,NJ,4,5.0500002
195,Before,1,NJ,0,4.25
195,After,2,NJ,8,5.0500002
196,Before,1,NJ,8,5
196,After,2,NJ,0,5.0500002
197,Before,1,NJ,23,5
197,After,2,NJ,5,5.0500002
198,Before,1,NJ,,4.25
198,After,2,NJ,10,5.0500002
199,Before,1,NJ,0,4.3499999
199,After,2,NJ,11,5.0500002
200,Before,1,NJ,0,4.25
200,After,2,NJ,5,5.0500002
201,Before,1,NJ,0,4.5
201,After,2,NJ,16,5.0500002
202,Before,1,NJ,30,4.25
202,After,2,NJ,13,5.0500002
203,Before,1,NJ,9,4.25
203,After,2,NJ,4,5.0500002
204,Before,1,NJ,10,4.25
204,After,2,NJ,12,5.0500002
207,Before,1,NJ,8,4.75
207,After,2,NJ,8.5,5.1999998
208,Before,1,NJ,12,4.6199999
208,After,2,NJ,5,5.0500002
209,Before,1,NJ,4,4.25
209,After,2,NJ,6,5.0500002
210,Before,1,NJ,0,4.5
210,After,2,NJ,0,5.0500002
211,Before,1,NJ,3,4.5
211,After,2,NJ,2,5.0500002
212,Before,1,NJ,11,4.5
212,After,2,NJ,20,5.0500002
213,Before,1,NJ,4.5,4.5500002
213,After,2,NJ,12,5.0500002
214,Before,1,NJ,2,4.6199999
214,After,2,NJ,0,5.0500002
215,Before,1,NJ,10,4.5
215,After,2,NJ,20,5.0500002
216,Before,1,NJ,2,4.25
216,After,2,NJ,2,5.0500002
217,Before,1,NJ,2,4.25
217,After,2,NJ,0,5.0500002
218,Before,1,NJ,7,4.3499999
218,After,2,NJ,5,5.0500002
219,Before,1,NJ,3,4.25
219,After,2,NJ,9,5.0500002
220,Before,1,NJ,3,4.25
220,After,2,NJ,3,5.0500002
221,Before,1,NJ,1,4.5999999
221,After,2,NJ,1,5.0500002
222,Before,1,NJ,2,4.25
222,After,2,NJ,2,5.0500002
223,Before,1,NJ,3,4.75
223,After,2,NJ,3,5.0500002
225,Before,1,NJ,3,4.75
225,After,2,NJ,12,5.0500002
226,Before,1,NJ,0,4.25
226,After,2,NJ,0,5.3000002
228,Before,1,NJ,3,4.5
228,After,2,NJ,11,5.0500002
229,Before,1,NJ,3,4.5
229,After,2,NJ,22,5.5
230,Before,1,NJ,0,4.25
230,After,2,NJ,15,5.0500002
231,Before,1,NJ,,
231,After,2,NJ,16,5.0500002
232,Before,1,NJ,18,4.75
232,After,2,NJ,18,5.0500002
233,Before,1,NJ,19,4.6500001
233,After,2,NJ,15,5.0500002
234,Before,1,NJ,0,5
234,After,2,NJ,10,5.0500002
235,Before,1,NJ,5,4.25
235,After,2,NJ,,5.0500002
236,Before,1,NJ,0,
236,After,2,NJ,23,5.0500002
237,Before,1,NJ,12,4.25
237,After,2,NJ,9,5.0500002
238,Before,1,NJ,0,4.75
238,After,2,NJ,25,5.0500002
239,Before,1,NJ,15,4.25
239,After,2,NJ,0,5.0500002
240,Before,1,NJ,15,5.0999999
240,After,2,NJ,15,5.0500002
241,Before,1,NJ,15,5
241,After,2,NJ,15,5.0500002
242,Before,1,NJ,25,5.25
242,After,2,NJ,12,5.0500002
243,Before,1,NJ,7,4.5
243,After,2,NJ,7,5.0500002
244,Before,1,NJ,12,4.25
244,After,2,NJ,16,5.0500002
245,Before,1,NJ,15,5.5
245,After,2,NJ,8,5.0500002
247,Before,1,NJ,0,4.5
247,After,2,NJ,0,5.0500002
248,Before,1,NJ,8,4.75
248,After,2,NJ,10,5.0500002
249,Before,1,NJ,6,4.3699999
249,After,2,NJ,10,5.0500002
250,Before,1,NJ,1,4.5
250,After,2,NJ,2,5.0500002
253,Before,1,NJ,7,4.8699999
253,After,2,NJ,4,5.0500002
254,Before,1,NJ,20,
254,After,2,NJ,28,5.25
255,Before,1,NJ,0,
255,After,2,NJ,8,
257,Before,1,NJ,20,4.25
257,After,2,NJ,,
258,Before,1,NJ,4,4.25
258,After,2,NJ,20,5.0500002
259,Before,1,NJ,13,5
259,After,2,NJ,15,5.0500002
260,Before,1,NJ,10,4.25
260,After,2,NJ,4,5.0500002
262,Before,1,NJ,7,4.25
262,After,2,NJ,0,5.0500002
264,Before,1,NJ,0,4.25
264,After,2,NJ,0,5.0500002
265,Before,1,NJ,0,4.25
265,After,2,NJ,0,
267,Before,1,NJ,6.5,4.25
267,After,2,NJ,30,5.0500002
268,Before,1,NJ,10,5
268,After,2,NJ,0,5.0500002
269,Before,1,NJ,2,4.4499998
269,After,2,NJ,10,5.0500002
271,Before,1,NJ,0,5
271,After,2,NJ,0,5.0500002
272,Before,1,NJ,4,5.0500002
272,After,2,NJ,2,5.25
273,Before,1,NJ,2,4.6199999
273,After,2,NJ,2,5.0500002
274,Before,1,NJ,0,5.5
274,After,2,NJ,3,5.0500002
275,Before,1,NJ,4,4.25
275,After,2,NJ,1,5.0500002
276,Before,1,NJ,5,5
276,After,2,NJ,5,5.0500002
277,Before,1,NJ,2,4.25
277,After,2,NJ,1,5.0500002
278,Before,1,NJ,3,4.25
278,After,2,NJ,0,5.0500002
282,Before,1,NJ,2,4.25
282,After,2,NJ,0,
284,Before,1,NJ,5,4.5
284,After,2,NJ,6,5.0500002
285,Before,1,NJ,3,4.75
285,After,2,NJ,3,5.0500002
286,Before,1,NJ,1,4.75
286,After,2,NJ,2,5.0500002
287,Before,1,NJ,3,4.5
287,After,2,NJ,2,5.0500002
288,Before,1,NJ,0,4.75
288,After,2,NJ,5,5.0500002
289,Before,1,NJ,2,4.25
289,After,2,NJ,3,5.0500002
290,Before,1,NJ,8,4.75
290,After,2,NJ,0,5.0500002
291,Before,1,NJ,4,4.5500002
291,After,2,NJ,5,5.0999999
292,Before,1,NJ,10,4.8000002
292,After,2,NJ,15,5.0500002
294,Before,1,NJ,0,
294,After,2,NJ,0,5.0500002
295,Before,1,NJ,8,4.75
295,After,2,NJ,,5.0500002
296,Before,1,NJ,5,5.3000002
296,After,2,NJ,4,5.0500002
297,Before,1,NJ,9,4.25
297,After,2,NJ,15,5.0500002
299,Before,1,NJ,3,5
299,After,2,NJ,6,5.0500002
301,Before,1,NJ,8,5
301,After,2,NJ,2,5.0500002
303,Before,1,NJ,10,4.3499999
303,After,2,NJ,12,5.0500002
304,Before,1,NJ,10,4.5
304,After,2,NJ,10,5.0500002
305,Before,1,NJ,0,4.3899999
305,After,2,NJ,5,5.0500002
306,Before,1,NJ,15,
306,After,2,NJ,6,5.0500002
307,Before,1,NJ,17.5,4.25
307,After,2,NJ,25,5.1999998
310,Before,1,NJ,0,4.25
310,After,2,NJ,3,5.0500002
311,Before,1,NJ,0,
311,After,2,NJ,35,5.0500002
312,Before,1,NJ,4,4.25
312,After,2,NJ,3,5.0500002
313,Before,1,NJ,11,4.5
313,After,2,NJ,0,5.0500002
314,Before,1,NJ,8,4.6199999
314,After,2,NJ,15,5.25
315,Before,1,NJ,5,
315,After,2,NJ,4.5,5.0500002
316,Before,1,NJ,15,4.6199999
316,After,2,NJ,12,5.0500002
317,Before,1,NJ,0,4.25
317,After,2,NJ,4,5.0500002
318,Before,1,NJ,5,4.75
318,After,2,NJ,7,5.0500002
319,Before,1,NJ,0,4.6199999
319,After,2,NJ,22,5.0500002
320,Before,1,NJ,5,5
320,After,2,NJ,4,5.0500002
321,Before,1,NJ,3,5
321,After,2,NJ,4,5.0500002
322,Before,1,NJ,8,4.75
322,After,2,NJ,12,5.0500002
324,Before,1,NJ,20,5.25
324,After,2,NJ,22,5.0500002
325,Before,1,NJ,4,4.5
325,After,2,NJ,1,5.0500002
326,Before,1,NJ,18,5.1500001
326,After,2,NJ,0,5.0500002
330,Before,1,NJ,4,5.4200001
330,After,2,NJ,3,5.6700001
333,Before,1,NJ,2,4.25
333,After,2,NJ,3,5.0500002
334,Before,1,NJ,10,5
334,After,2,NJ,0,5.0500002
335,Before,1,NJ,9,
335,After,2,NJ,7,5.0500002
336,Before,1,NJ,28,4.5
336,After,2,NJ,10,5.0500002
337,Before,1,NJ,5,4.8699999
337,After,2,NJ,25,5.0500002
339,Before,1,NJ,18,4.25
339,After,2,NJ,5,5.0500002
340,Before,1,NJ,6,4.25
340,After,2,NJ,15,5.0500002
341,Before,1,NJ,2,4.6199999
341,After,2,NJ,3,5.0500002
343,Before,1,NJ,10,4.75
343,After,2,NJ,4,5.0500002
346,Before,1,NJ,2,4.25
346,After,2,NJ,3,
348,Before,1,NJ,3,4.25
348,After,2,NJ,0,
349,Before,1,NJ,2.5,5
349,After,2,NJ,0,5.0500002
350,Before,1,NJ,8,4.75
350,After,2,NJ,5,5.0500002
351,Before,1,NJ,2,4.25
351,After,2,NJ,10,5.0500002
352,Before,1,NJ,0,4.75
352,After,2,NJ,,
353,Before,1,NJ,7.5,4.3699999
353,After,2,NJ,,5.0500002
354,Before,1,NJ,14,5.0599999
354,After,2,NJ,9,5.0500002
355,Before,1,NJ,2,4.8699999
355,After,2,NJ,3,
356,Before,1,NJ,11.5,5.0500002
356,After,2,NJ,0,5.0500002
357,Before,1,NJ,4.5,5
357,After,2,NJ,21,5.25
359,Before,1,NJ,0,4.25
359,After,2,NJ,0,5.0500002
360,Before,1,NJ,3,4.25
360,After,2,NJ,5,5.0500002
361,Before,1,NJ,6,4.25
361,After,2,NJ,4,5.0500002
362,Before,1,NJ,6,4.25
362,After,2,NJ,24,5.0500002
363,Before,1,NJ,0,4.25
363,After,2,NJ,14,5.1999998
364,Before,1,NJ,3.5,4.25
364,After,2,NJ,1,5.0500002
366,Before,1,NJ,2,4.5
366,After,2,NJ,1,5.0500002
368,Before,1,NJ,0,4.25
368,After,2,NJ,0,5.0500002
369,Before,1,NJ,0,4.3499999
369,After,2,NJ,0,
370,Before,1,NJ,20,4.8499999
370,After,2,NJ,26,5.0500002
371,Before,1,NJ,12,5
371,After,2,NJ,11,5.25
372,Before,1,NJ,0,
372,After,2,NJ,30,5.0500002
373,Before,1,NJ,14,5
373,After,2,NJ,18,5.0500002
375,Before,1,NJ,25,5.25
375,After,2,NJ,0,5.5
376,Before,1,NJ,4,4.5
376,After,2,NJ,0,5.0500002
377,Before,1,NJ,12,4.25
377,After,2,NJ,11,5.0500002
378,Before,1,NJ,10,5
378,After,2,NJ,20,5.0500002
379,Before,1,NJ,20,4.6199999
379,After,2,NJ,28,5.0500002
380,Before,1,NJ,10,4.5
380,After,2,NJ,15,5.0500002
381,Before,1,NJ,10,5
381,After,2,NJ,15,5.0500002
383,Before,1,NJ,6,4.5
383,After,2,NJ,7,5.0500002
384,Before,1,NJ,,4.6500001
384,After,2,NJ,0,5.0500002
385,Before,1,NJ,16,4.25
385,After,2,NJ,15,5.0500002
386,Before,1,NJ,0,4.25
386,After,2,NJ,14,5.0500002
391,Before,1,NJ,15,4.25
391,After,2,NJ,12,5.0500002
393,Before,1,NJ,4,4.6199999
393,After,2,NJ,18,5.25
396,Before,1,NJ,24,4.8699999
396,After,2,NJ,8,5.4000001
397,Before,1,NJ,4,4.25
397,After,2,NJ,6,5.0500002
398,Before,1,NJ,14,4.75
398,After,2,NJ,25,5.0500002
399,Before,1,NJ,13,4.8699999
399,After,2,NJ,18,5.0500002
400,Before,1,NJ,16,4.5
400,After,2,NJ,8,5.0500002
401,Before,1,NJ,8,4.25
401,After,2,NJ,5,5.0500002
402,Before,1,NJ,11,4.75
402,After,2,NJ,17,5.0500002
403,Before,1,NJ,13,5.0500002
403,After,2,NJ,11,5.0500002
405,Before,1,NJ,6,4.3200002
405,After,2,NJ,1.5,5.0500002
406,Before,1,NJ,12,5
406,After,2,NJ,17,5.5
407,Before,1,PA,2,4.75
407,After,2,PA,1,4.25
408,Before,1,NJ,5,5.75
408,After,2,NJ,8,5.5
409,Before,1,NJ,3,5
409,After,2,NJ,0,5.0500002
410,Before,1,NJ,0,4.25
410,After,2,NJ,0,5.0500002
411,Before,1,NJ,0,4.5
411,After,2,NJ,4,5.0500002
412,Before,1,NJ,0,4.5
412,After,2,NJ,0,5.0500002
413,Before,1,NJ,0,4.25
413,After,2,NJ,0,5.0500002
414,Before,1,NJ,0,4.25
414,After,2,NJ,13,5.0500002
415,Before,1,NJ,8,4.25
415,After,2,NJ,0,5.0500002
417,Before,1,NJ,4,4.25
417,After,2,NJ,13,5.0500002
418,Before,1,NJ,30,4.25
418,After,2,NJ,0,5.0500002
419,Before,1,NJ,3,4.25
419,After,2,NJ,5,5.0500002
421,Before,1,NJ,20,4.6199999
421,After,2,NJ,25,5.0500002
422,Before,1,NJ,0,4.75
422,After,2,NJ,5,5.0500002
423,Before,1,NJ,2,4.9499998
423,After,2,NJ,19,5.25
424,Before,1,NJ,3.5,4.75
424,After,2,NJ,12,5.25
426,Before,1,NJ,3,4.25
426,After,2,NJ,5,5.0500002
427,Before,1,NJ,7,4.75
427,After,2,NJ,0,5.0500002
428,Before,1,NJ,0,4.6199999
428,After,2,NJ,10,5.1399999
430,Before,1,PA,20,4.25
430,After,2,PA,0,4.25
432,Before,1,PA,20,4.5
432,After,2,PA,25,5.0500002
433,Before,1,PA,10,4.25
433,After,2,PA,0,
434,Before,1,PA,15,4.25
434,After,2,PA,19,4.25
435,Before,1,PA,1,4.25
435,After,2,PA,0,4.25
438,Before,1,PA,0,4.25
438,After,2,PA,2,4.25
440,Before,1,PA,0,4.25
440,After,2,PA,0,
441,Before,1,PA,30,4.25
441,After,2,PA,0,4.25
443,Before,1,PA,4,4.25
443,After,2,PA,5,4.3499999
444,Before,1,PA,12,4.25
444,After,2,PA,10,4.5
445,Before,1,PA,50,5
445,After,2,PA,15,4.75
446,Before,1,PA,,4.5
446,After,2,PA,7,5
448,Before,1,PA,8,4.75
448,After,2,PA,8,4.5
449,Before,1,PA,0,4.8699999
449,After,2,PA,15,5
450,Before,1,PA,2,4.75
450,After,2,PA,27.5,4.75
451,Before,1,PA,10,5
451,After,2,PA,26,5
454,Before,1,PA,1,4.5
454,After,2,PA,0,5
455,Before,1,PA,2,5.25
455,After,2,PA,3,5
458,Before,1,PA,2,5
458,After,2,PA,2,5
459,Before,1,PA,5,4.25
459,After,2,PA,0,4.3499999
462,Before,1,PA,2.5,5
462,After,2,PA,1,4.75
466,Before,1,PA,8,4.75
466,After,2,PA,14,
468,Before,1,PA,40,5
468,After,2,PA,9,5
469,Before,1,PA,8,5
469,After,2,PA,7,4.5
470,Before,1,PA,10.5,5.5
470,After,2,PA,18,4.75
471,Before,1,PA,25,4.25
471,After,2,PA,12,4.25
472,Before,1,PA,37.5,4.25
472,After,2,PA,8,4.9000001
473,Before,1,PA,5,4.75
473,After,2,PA,26,4.5
474,Before,1,PA,6,5
474,After,2,PA,5,4.5
475,Before,1,PA,25,4.5
475,After,2,PA,10,4.5
476,Before,1,PA,6,4.25
476,After,2,PA,5,4.75
477,Before,1,PA,8,4.25
477,After,2,PA,6,6.25
478,Before,1,PA,32,4.5
478,After,2,PA,8,4.3499999
481,Before,1,PA,5,5.25
481,After,2,PA,15,5
483,Before,1,PA,1,5
483,After,2,PA,4,4.75
485,Before,1,PA,1,4.5
485,After,2,PA,4,4.5
487,Before,1,PA,10,5
487,After,2,PA,6,4.75
488,Before,1,PA,20,5
488,After,2,PA,5,4.75
489,Before,1,PA,5,5
489,After,2,PA,2,4.25
490,Before,1,PA,10,5
490,After,2,PA,2,5
491,Before,1,PA,4,4.5
491,After,2,PA,0,
492,Before,1,PA,2,4.5
492,After,2,PA,4,4.5
493,Before,1,PA,27,5
493,After,2,PA,0,4.9000001
495,Before,1,PA,4,5
495,After,2,PA,8,5
496,Before,1,PA,10,5
496,After,2,PA,10,4.75
497,Before,1,PA,12,4.5
497,After,2,PA,,
498,Before,1,PA,20,4.75
498,After,2,PA,21,5
499,Before,1,PA,0,5
499,After,2,PA,0,5
501,Before,1,PA,14,4.25
501,After,2,PA,30,4.75
503,Before,1,PA,7.5,4.75
503,After,2,PA,35,4.5
506,Before,1,PA,3,
506,After,2,PA,3,5
509,Before,1,PA,3,5
509,After,2,PA,5.5,4.25
510,Before,1,PA,7,4.25
510,After,2,PA,2.5,
511,Before,1,PA,4,4.75
511,After,2,PA,3,4.75
514,Before,1,PA,5,4.5
514,After,2,PA,23,4.25
515,Before,1,PA,7,5
515,After,2,PA,5,4.75
516,Before,1,PA,6,4.75
516,After,2,PA,2,4.9099998
521,Before,1,PA,2.5,4.25
521,After,2,PA,0,4.4000001
522,Before,1,PA,2,4.3499999
522,After,2,PA,3,4.25
