DM,May22_2012,no_paid_search,log_revenue
500,0,1,11.22800414
501,0,0,14.57999859
502,0,0,10.38516327
503,0,0,10.48166039
504,0,0,13.39497597
505,0,1,12.81640456
506,0,0,13.24209695
507,0,0,10.99712375
508,0,0,12.29831421
509,0,0,10.93024869
510,0,0,12.61707851
511,0,1,13.34409748
512,0,0,12.41787613
513,0,1,11.32475909
514,0,0,11.88424592
515,0,0,11.98679237
516,0,0,10.39582265
517,0,1,12.27397837
518,0,0,11.67600633
519,0,0,10.97953855
520,0,0,10.6408741
521,0,1,11.76923899
522,0,0,10.45252158
523,0,0,11.28784604
524,0,0,13.07340439
525,0,1,9.837798383
526,0,0,10.12778766
527,0,0,12.19472853
528,0,1,13.58706134
529,0,0,11.71824164
530,0,0,10.61610626
531,0,0,10.96256808
532,0,0,11.64957781
533,0,0,12.34294478
534,0,1,12.74516678
535,0,0,12.02796289
536,0,1,10.81481136
537,0,0,10.20977731
538,0,0,11.37106181
539,0,0,12.89202331
540,0,0,10.77135981
541,0,0,11.39156536
542,0,1,11.45360956
543,0,0,10.98023186
544,0,1,11.82456975
545,0,1,10.80922708
546,0,1,11.07843932
547,0,1,11.31887217
548,0,1,12.15545181
549,0,0,10.01051232
550,0,1,10.4065125
551,0,0,10.83050667
552,0,0,8.944284802
553,0,0,9.890505992
554,0,0,10.29761164
555,0,0,11.35113849
556,0,1,11.57790775
557,0,1,11.47484373
558,0,0,8.884016757
559,0,0,10.17857399
560,0,0,12.18006163
561,0,1,11.7429493
563,0,1,11.85663025
564,0,0,11.49816963
565,0,1,10.01600167
566,0,1,11.88565298
567,0,0,11.9210107
569,0,0,9.517141947
570,0,0,10.73876538
571,0,0,11.43530284
573,0,0,11.24455288
574,0,0,11.05115105
575,0,0,11.14224131
576,0,1,10.27792058
577,0,1,11.83081516
581,0,1,10.3143096
582,0,0,9.595650022
583,0,0,8.087644844
584,0,0,9.487905037
588,0,0,11.16217471
592,0,0,10.20554692
596,0,1,8.705318304
597,0,0,9.505245046
598,0,0,10.05936684
600,0,0,10.54002504
602,0,0,13.58858419
603,0,0,10.24365672
604,0,0,10.38071278
605,0,0,10.45552885
606,0,1,9.765813989
609,0,1,12.27185154
610,0,0,10.599459
611,0,1,10.24226067
612,0,0,11.07417878
613,0,1,12.77458163
616,0,0,12.05915922
617,0,1,12.0412758
618,0,0,13.13133782
619,0,0,11.32898621
622,0,1,11.76006704
623,0,0,13.18913033
624,0,1,10.32764449
625,0,0,11.06377978
626,0,0,8.69991021
627,0,1,10.35947355
628,0,0,10.28287875
630,0,0,11.7262718
631,0,0,9.241367419
632,0,0,11.17944856
633,0,0,10.54680917
634,0,0,10.64422186
635,0,1,12.04829227
636,0,0,11.31808929
637,0,0,11.09748149
638,0,0,9.217415296
639,0,0,9.363080844
640,0,0,11.67279566
641,0,0,12.07109147
642,0,0,10.71023495
643,0,0,9.897378693
644,0,1,9.655287637
647,0,0,9.267056645
648,0,0,11.18029194
649,0,0,10.86460278
650,0,0,11.83904619
651,0,0,10.25150361
652,0,0,11.27610778
656,0,1,10.28937227
657,0,0,10.0434822
658,0,0,11.30616906
659,0,0,12.23645333
661,0,0,9.119433597
662,0,0,9.854282815
669,0,0,11.14706652
670,0,0,10.89054813
671,0,1,11.48850523
673,0,1,10.28115074
675,0,0,10.87136366
676,0,1,10.53859442
678,0,1,11.49894622
679,0,1,11.28240133
682,0,0,11.03116144
686,0,1,11.54332755
687,0,1,10.74658726
691,0,1,11.23807821
692,0,1,10.30865795
693,0,1,11.47452938
698,0,0,10.57616659
702,0,0,10.54295382
705,0,1,10.42721294
709,0,0,10.7660617
710,0,1,9.703503525
711,0,1,9.101422162
716,0,0,11.04771058
717,0,0,10.05059645
718,0,0,10.86809122
722,0,0,10.97868482
724,0,0,10.93568024
725,0,0,10.87238464
734,0,1,9.7041736
736,0,0,9.754570864
737,0,1,9.306461923
740,0,0,7.991041594
743,0,1,10.58037141
744,0,1,11.74570386
745,0,1,9.187622099
746,0,0,10.02989853
747,0,1,8.972311034
749,0,1,10.401859
751,0,1,12.70074947
752,0,0,11.12590475
753,0,0,12.75841655
754,0,0,9.667173867
755,0,1,9.519465352
756,0,0,10.15848524
757,0,1,10.7810143
758,0,1,10.28223816
759,0,1,9.339278892
760,0,0,9.512186395
762,0,0,10.17993101
764,0,0,10.03532797
765,0,0,11.29338837
766,0,0,8.561152225
767,0,0,9.512124718
770,0,0,12.26587857
771,0,0,10.55316404
773,0,0,9.529708053
789,0,0,11.46843478
790,0,0,11.79409771
798,0,0,7.103584086
800,0,0,10.70848015
801,0,1,10.70396111
802,0,1,9.606441426
803,0,0,14.36241826
804,0,0,10.30512883
807,0,0,13.56634799
810,0,0,10.74605751
811,0,1,10.8944585
813,0,1,10.46782293
819,0,0,13.02722226
820,0,0,12.44795487
821,0,0,9.469127189
825,0,0,12.64786491
828,0,0,11.09618647
839,0,0,11.96807843
855,0,0,11.07755979
862,0,0,12.64115616
866,0,1,11.63228677
868,0,0,10.56848632
881,0,0,11.44467963
500,1,1,11.17617425
501,1,0,14.56134284
502,1,0,10.28572177
503,1,0,10.50659675
504,1,0,13.35911811
505,1,1,12.75291004
506,1,0,13.19553822
507,1,0,10.95797064
508,1,0,12.25961198
509,1,0,10.86827258
510,1,0,12.5786815
511,1,1,13.30515632
512,1,0,12.39183979
513,1,1,11.22336686
514,1,0,11.7815825
515,1,0,11.94196366
516,1,0,10.38574094
517,1,1,12.23807086
518,1,0,11.66616179
519,1,0,10.995024
520,1,0,10.64608077
521,1,1,11.69847847
522,1,0,10.42504143
523,1,0,11.20245698
524,1,0,13.0590358
525,1,1,9.850422969
526,1,0,10.03041866
527,1,0,12.13656597
528,1,1,13.58165838
529,1,0,11.71342946
530,1,0,10.63785907
531,1,0,10.930491
532,1,0,11.60485237
533,1,0,12.31177287
534,1,1,12.72159563
535,1,0,11.97540796
536,1,1,10.71879816
537,1,0,10.17609964
538,1,0,11.33702355
539,1,0,12.86658146
540,1,0,10.72174067
541,1,0,11.35513293
542,1,1,11.37917398
543,1,0,10.88736982
544,1,1,11.7780092
545,1,1,10.78337391
546,1,1,11.03825659
547,1,1,11.21109523
548,1,1,12.09508688
549,1,0,9.983770145
550,1,1,10.38045045
551,1,0,10.78740756
552,1,0,8.791679015
553,1,0,9.763508863
554,1,0,10.23769019
555,1,0,11.29659694
556,1,1,11.52164132
557,1,1,11.46025805
558,1,0,8.679790739
559,1,0,10.10557446
560,1,0,12.17486896
561,1,1,11.72319588
563,1,1,11.74752819
564,1,0,11.42738592
565,1,1,9.923585959
566,1,1,11.84885896
567,1,0,11.91785036
569,1,0,9.469597972
570,1,0,10.68924821
571,1,0,11.41410931
573,1,0,11.19968079
574,1,0,10.99652009
575,1,0,11.14352944
576,1,1,10.30763801
577,1,1,11.76136694
581,1,1,10.27220648
582,1,0,9.513298912
583,1,0,7.913235923
584,1,0,9.446139734
588,1,0,11.10408276
592,1,0,10.2114159
596,1,1,8.601620772
597,1,0,9.413354917
598,1,0,9.98836804
600,1,0,10.51218285
602,1,0,13.51959269
603,1,0,10.15450579
604,1,0,10.35836959
605,1,0,10.43640527
606,1,1,9.705778421
609,1,1,12.24557162
610,1,0,10.49337314
611,1,1,10.14059763
612,1,0,11.05611039
613,1,1,12.69357125
616,1,0,12.0486287
617,1,1,11.95035933
618,1,0,13.13853619
619,1,0,11.31329151
622,1,1,11.77240703
623,1,0,13.1988329
624,1,1,10.25135169
625,1,0,11.02690117
626,1,0,8.639755677
627,1,1,10.31186675
628,1,0,10.27340179
630,1,0,11.71886508
631,1,0,9.164921748
632,1,0,11.11298393
633,1,0,10.4829473
634,1,0,10.60317917
635,1,1,11.97921389
636,1,0,11.31260152
637,1,0,11.04894485
638,1,0,9.193463357
639,1,0,9.371842922
640,1,0,11.66835344
641,1,0,12.04855707
642,1,0,10.72762439
643,1,0,9.879289651
644,1,1,9.630785344
647,1,0,9.188281203
648,1,0,11.15225431
649,1,0,10.83571665
650,1,0,11.7997533
651,1,0,10.29425697
652,1,0,11.25112561
656,1,1,10.23319123
657,1,0,10.00092803
658,1,0,11.22613596
659,1,0,12.22346216
661,1,0,9.110641588
662,1,0,9.87326822
669,1,0,11.08820288
670,1,0,10.86074245
671,1,1,11.44301165
673,1,1,10.24100375
675,1,0,10.83150087
676,1,1,10.46837478
678,1,1,11.4497615
679,1,1,11.20094205
682,1,0,10.97696969
686,1,1,11.54726288
687,1,1,10.63679096
691,1,1,11.21995739
692,1,1,10.29353362
693,1,1,11.45875519
698,1,0,10.5404241
702,1,0,10.50501598
705,1,1,10.37915827
709,1,0,10.73424282
710,1,1,9.727037491
711,1,1,9.14265048
716,1,0,11.06014383
717,1,0,9.959905935
718,1,0,10.83831866
722,1,0,10.91593289
724,1,0,10.88469778
725,1,0,10.83237807
734,1,1,9.687504619
736,1,0,9.710228043
737,1,1,9.205331753
740,1,0,7.926733668
743,1,1,10.52589173
744,1,1,11.68633603
745,1,1,9.146086528
746,1,0,10.06593239
747,1,1,8.993729407
749,1,1,10.42381967
751,1,1,12.63787542
752,1,0,11.07474135
753,1,0,12.70545736
754,1,0,9.586120559
755,1,1,9.467214144
756,1,0,10.07038519
757,1,1,10.73047738
758,1,1,10.20741119
759,1,1,9.365379661
760,1,0,9.419359106
762,1,0,10.16304908
764,1,0,10.00875265
765,1,0,11.26277184
766,1,0,8.529611756
767,1,0,9.404984791
770,1,0,12.24135822
771,1,0,10.54098058
773,1,0,9.483315414
789,1,0,11.43954055
790,1,0,11.75928998
798,1,0,7.057453235
800,1,0,10.72452516
801,1,1,10.68935203
802,1,1,9.53686455
803,1,0,14.33484512
804,1,0,10.22912838
807,1,0,13.57383438
810,1,0,10.72113564
811,1,1,10.85922494
813,1,1,10.38428129
819,1,0,13.03062268
820,1,0,12.43190767
821,1,0,9.430002183
825,1,0,12.62172032
828,1,0,11.06633476
839,1,0,11.97383996
855,1,0,11.07751678
862,1,0,12.61422964
866,1,1,11.56863569
868,1,0,10.50324366
881,1,0,11.4210449